location,week_start,iso_code,location_type,pandemic_period,year,quarter,month,iso_week,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,mobility_restriction_index
Poland,2021-05-17,PL,comparison_country,2020-2022,2021,2,5,20,-5.142857142857143,15.142857142857142,66.14285714285714,-13.142857142857142,-6.0,1.4285714285714286,-8.095238095238095
Poland,2021-05-24,PL,comparison_country,2020-2022,2021,2,5,21,2.7142857142857144,20.857142857142858,79.14285714285714,-8.428571428571429,-4.285714285714286,0.7142857142857143,-3.333333333333333
Poland,2021-05-31,PL,comparison_country,2020-2022,2021,2,5,22,11.0,19.0,179.85714285714286,-4.714285714285714,-20.0,0.14285714285714285,-4.571428571428571
Poland,2021-06-07,PL,comparison_country,2020-2022,2021,2,6,23,9.428571428571429,24.0,106.71428571428571,-2.4285714285714284,1.1428571428571428,-1.5714285714285714,2.7142857142857144
Poland,2021-06-14,PL,comparison_country,2020-2022,2021,2,6,24,10.0,24.714285714285715,135.71428571428572,-0.8571428571428571,0.2857142857142857,-3.142857142857143,3.142857142857143
Poland,2021-06-21,PL,comparison_country,2020-2022,2021,2,6,25,16.285714285714285,41.714285714285715,118.14285714285714,-1.7142857142857142,0.0,-2.142857142857143,4.857142857142857
Poland,2021-06-28,PL,comparison_country,2020-2022,2021,2,6,26,10.0,20.571428571428573,132.28571428571428,-3.857142857142857,-8.571428571428571,-1.5714285714285714,-0.8095238095238092
Poland,2021-07-05,PL,comparison_country,2020-2022,2021,3,7,27,14.428571428571429,26.285714285714285,157.71428571428572,-0.7142857142857143,-10.285714285714286,-2.0,1.1428571428571428
Poland,2021-07-12,PL,comparison_country,2020-2022,2021,3,7,28,16.142857142857142,27.0,171.14285714285714,1.4285714285714286,-12.285714285714286,-2.142857142857143,1.7619047619047616
Poland,2021-07-19,PL,comparison_country,2020-2022,2021,3,7,29,18.571428571428573,29.142857142857142,193.71428571428572,3.857142857142857,-12.714285714285714,-2.4285714285714284,3.2380952380952377
Poland,2021-07-26,PL,comparison_country,2020-2022,2021,3,7,30,18.142857142857142,28.857142857142858,191.14285714285714,3.857142857142857,-14.714285714285714,-1.5714285714285714,2.4285714285714284
Poland,2021-08-02,PL,comparison_country,2020-2022,2021,3,8,31,21.285714285714285,29.428571428571427,179.0,2.857142857142857,-15.714285714285714,-0.7142857142857143,2.8095238095238093
Poland,2021-08-09,PL,comparison_country,2020-2022,2021,3,8,32,22.285714285714285,34.42857142857143,215.71428571428572,7.714285714285714,-14.714285714285714,-2.5714285714285716,5.095238095238096
Poland,2021-08-16,PL,comparison_country,2020-2022,2021,3,8,33,17.142857142857142,35.714285714285715,173.28571428571428,4.285714285714286,-12.428571428571429,-1.2857142857142858,3.0
Poland,2021-08-23,PL,comparison_country,2020-2022,2021,3,8,34,18.0,49.285714285714285,111.57142857142857,-0.7142857142857143,-8.285714285714286,0.14285714285714285,3.0
Poland,2021-08-30,PL,comparison_country,2020-2022,2021,3,8,35,13.0,37.285714285714285,103.42857142857143,4.0,-6.571428571428571,-0.5714285714285714,3.4761904761904767
Poland,2021-09-06,PL,comparison_country,2020-2022,2021,3,9,36,10.714285714285714,38.285714285714285,127.28571428571429,7.714285714285714,-5.285714285714286,-2.7142857142857144,4.380952380952381
Poland,2021-09-13,PL,comparison_country,2020-2022,2021,3,9,37,2.857142857142857,32.714285714285715,70.42857142857143,-1.0,-7.285714285714286,-0.42857142857142855,-1.8095238095238095
Poland,2021-09-20,PL,comparison_country,2020-2022,2021,3,9,38,4.571428571428571,33.285714285714285,72.28571428571429,1.1428571428571428,-1.1428571428571428,-0.5714285714285714,1.523809523809524
Poland,2021-09-27,PL,comparison_country,2020-2022,2021,3,9,39,5.571428571428571,35.0,75.28571428571429,2.0,-0.8571428571428571,-1.0,2.238095238095238
Poland,2021-10-04,PL,comparison_country,2020-2022,2021,4,10,40,3.857142857142857,34.714285714285715,64.14285714285714,1.4285714285714286,-1.2857142857142858,-0.8571428571428571,1.3333333333333335
Poland,2021-10-11,PL,comparison_country,2020-2022,2021,4,10,41,2.2857142857142856,33.57142857142857,39.0,-2.5714285714285716,-2.857142857142857,0.42857142857142855,-1.0476190476190474
Poland,2021-10-18,PL,comparison_country,2020-2022,2021,4,10,42,0.7142857142857143,33.285714285714285,39.285714285714285,-1.7142857142857142,0.0,0.42857142857142855,-0.3333333333333334
Poland,2021-10-25,PL,comparison_country,2020-2022,2021,4,10,43,2.5714285714285716,45.42857142857143,51.142857142857146,1.2857142857142858,-1.4285714285714286,-0.7142857142857143,0.8095238095238094
Poland,2021-11-01,PL,comparison_country,2020-2022,2021,4,11,44,-12.571428571428571,21.0,24.142857142857142,-10.857142857142858,-11.571428571428571,4.142857142857143,-11.666666666666668
Poland,2021-11-08,PL,comparison_country,2020-2022,2021,4,11,45,-5.285714285714286,23.714285714285715,38.714285714285715,-11.142857142857142,-18.571428571428573,5.142857142857143,-11.666666666666668
Poland,2021-11-15,PL,comparison_country,2020-2022,2021,4,11,46,-5.571428571428571,30.571428571428573,10.285714285714286,-8.142857142857142,-0.2857142857142857,2.5714285714285716,-4.666666666666666
Poland,2021-11-22,PL,comparison_country,2020-2022,2021,4,11,47,-4.142857142857143,28.857142857142858,6.0,-10.0,-1.4285714285714286,3.0,-5.19047619047619
Poland,2021-11-29,PL,comparison_country,2020-2022,2021,4,11,48,-3.4285714285714284,32.57142857142857,4.571428571428571,-10.857142857142858,-1.7142857142857142,3.4285714285714284,-5.333333333333334
Poland,2021-12-06,PL,comparison_country,2020-2022,2021,4,12,49,3.4285714285714284,41.57142857142857,10.0,-9.428571428571429,3.4285714285714284,3.4285714285714284,-0.8571428571428571
Poland,2021-12-13,PL,comparison_country,2020-2022,2021,4,12,50,7.571428571428571,48.714285714285715,8.428571428571429,-7.142857142857143,5.857142857142857,3.142857142857143,2.0952380952380953
Poland,2021-12-20,PL,comparison_country,2020-2022,2021,4,12,51,-17.142857142857142,8.142857142857142,6.714285714285714,-26.571428571428573,-33.57142857142857,7.142857142857143,-25.76190476190476
Poland,2021-12-27,PL,comparison_country,2020-2022,2021,4,12,52,-13.428571428571429,17.428571428571427,23.142857142857142,-26.142857142857142,-35.0,9.714285714285714,-24.857142857142858
Poland,2022-01-03,PL,comparison_country,2020-2022,2022,1,1,1,-13.857142857142858,18.714285714285715,15.142857142857142,-26.714285714285715,-24.571428571428573,10.142857142857142,-21.714285714285715
Poland,2022-01-10,PL,comparison_country,2020-2022,2022,1,1,2,-10.571428571428571,26.714285714285715,1.4285714285714286,-16.142857142857142,3.142857142857143,3.7142857142857144,-7.857142857142857
Poland,2022-01-17,PL,comparison_country,2020-2022,2022,1,1,3,-14.857142857142858,24.714285714285715,-0.2857142857142857,-20.0,-2.5714285714285716,5.0,-12.476190476190476
Poland,2022-01-24,PL,comparison_country,2020-2022,2022,1,1,4,-15.0,22.142857142857142,-9.571428571428571,-26.142857142857142,-7.571428571428571,7.285714285714286,-16.238095238095237
Poland,2022-01-31,PL,comparison_country,2020-2022,2022,1,1,5,-15.571428571428571,11.714285714285714,-1.0,-25.0,-10.428571428571429,6.857142857142857,-17.0
Poland,2022-02-07,PL,comparison_country,2020-2022,2022,1,2,6,-6.0,17.714285714285715,19.714285714285715,-18.428571428571427,-8.0,5.142857142857143,-10.80952380952381
Poland,2022-02-14,PL,comparison_country,2020-2022,2022,1,2,7,-5.857142857142857,16.0,16.428571428571427,-18.0,-6.714285714285714,4.142857142857143,-10.190476190476192
Poland,2022-02-21,PL,comparison_country,2020-2022,2022,1,2,8,-7.142857142857143,19.0,22.714285714285715,-12.285714285714286,-0.14285714285714285,2.857142857142857,-6.523809523809524
Poland,2022-02-28,PL,comparison_country,2020-2022,2022,1,2,9,-8.857142857142858,20.571428571428573,17.714285714285715,-6.714285714285714,5.0,2.2857142857142856,-3.5238095238095233
Poland,2022-03-07,PL,comparison_country,2020-2022,2022,1,3,10,-2.2857142857142856,25.857142857142858,35.42857142857143,0.0,6.571428571428571,2.4285714285714284,1.4285714285714286
Poland,2022-03-14,PL,comparison_country,2020-2022,2022,1,3,11,-2.857142857142857,24.571428571428573,47.714285714285715,0.0,7.142857142857143,2.4285714285714284,1.4285714285714286
Poland,2022-03-21,PL,comparison_country,2020-2022,2022,1,3,12,-1.2857142857142858,25.142857142857142,65.71428571428571,1.0,7.571428571428571,2.0,2.4285714285714284
Poland,2022-03-28,PL,comparison_country,2020-2022,2022,1,3,13,-6.571428571428571,20.714285714285715,22.857142857142858,-5.857142857142857,7.571428571428571,2.857142857142857,-1.619047619047619
Poland,2022-04-04,PL,comparison_country,2020-2022,2022,2,4,14,6.285714285714286,48.285714285714285,26.285714285714285,0.2857142857142857,11.571428571428571,2.4285714285714284,6.047619047619048
Poland,2022-04-11,PL,comparison_country,2020-2022,2022,2,4,15,-7.571428571428571,25.285714285714285,58.285714285714285,-5.142857142857143,-8.285714285714286,3.2857142857142856,-7.0
Poland,2022-04-18,PL,comparison_country,2020-2022,2022,2,4,16,0.14285714285714285,30.857142857142858,62.857142857142854,-0.2857142857142857,-3.5714285714285716,3.857142857142857,-1.2380952380952388
Poland,2022-04-25,PL,comparison_country,2020-2022,2022,2,4,17,6.142857142857143,31.857142857142858,94.28571428571429,9.428571428571429,9.142857142857142,-0.42857142857142855,8.238095238095237
Poland,2022-05-02,PL,comparison_country,2020-2022,2022,2,5,18,5.285714285714286,24.428571428571427,139.42857142857142,1.4285714285714286,-9.857142857142858,2.5714285714285716,-1.047619047619048
Poland,2022-05-09,PL,comparison_country,2020-2022,2022,2,5,19,13.857142857142858,37.0,107.42857142857143,14.285714285714286,13.714285714285714,-1.8571428571428572,13.95238095238095
Poland,2022-05-16,PL,comparison_country,2020-2022,2022,2,5,20,8.714285714285714,31.571428571428573,96.85714285714286,11.142857142857142,12.571428571428571,-1.1428571428571428,10.80952380952381
Poland,2022-05-23,PL,comparison_country,2020-2022,2022,2,5,21,10.571428571428571,33.857142857142854,81.14285714285714,10.857142857142858,10.428571428571429,-0.42857142857142855,10.619047619047619
Poland,2022-05-30,PL,comparison_country,2020-2022,2022,2,5,22,14.0,36.42857142857143,121.14285714285714,15.142857142857142,12.571428571428571,-1.8571428571428572,13.904761904761907
Poland,2022-06-06,PL,comparison_country,2020-2022,2022,2,6,23,12.571428571428571,36.857142857142854,121.57142857142857,18.285714285714285,13.142857142857142,-1.8571428571428572,14.666666666666668
Poland,2022-06-13,PL,comparison_country,2020-2022,2022,2,6,24,7.285714285714286,29.142857142857142,161.14285714285714,11.714285714285714,-10.571428571428571,0.5714285714285714,2.8095238095238093
Poland,2022-06-20,PL,comparison_country,2020-2022,2022,2,6,25,17.428571428571427,59.42857142857143,138.57142857142858,18.571428571428573,11.571428571428571,-2.142857142857143,15.857142857142858
Poland,2022-06-27,PL,comparison_country,2020-2022,2022,2,6,26,10.714285714285714,36.42857142857143,145.28571428571428,14.571428571428571,1.8571428571428572,-0.8571428571428571,9.047619047619047
Poland,2022-07-04,PL,comparison_country,2020-2022,2022,3,7,27,12.857142857142858,34.857142857142854,132.71428571428572,12.857142857142858,-1.4285714285714286,-0.14285714285714285,8.095238095238097
Poland,2022-07-11,PL,comparison_country,2020-2022,2022,3,7,28,15.428571428571429,37.857142857142854,152.57142857142858,15.285714285714286,-3.4285714285714284,-0.2857142857142857,9.095238095238095
Poland,2022-07-18,PL,comparison_country,2020-2022,2022,3,7,29,12.428571428571429,38.57142857142857,194.71428571428572,14.285714285714286,-6.285714285714286,1.2857142857142858,6.80952380952381
Poland,2022-07-25,PL,comparison_country,2020-2022,2022,3,7,30,14.285714285714286,37.142857142857146,176.0,13.571428571428571,-7.714285714285714,0.8571428571428571,6.714285714285714
Poland,2022-08-01,PL,comparison_country,2020-2022,2022,3,8,31,18.0,40.57142857142857,214.42857142857142,16.428571428571427,-7.857142857142857,-0.14285714285714285,8.857142857142858
Poland,2022-08-08,PL,comparison_country,2020-2022,2022,3,8,32,20.285714285714285,42.857142857142854,207.85714285714286,16.571428571428573,-8.0,-0.42857142857142855,9.61904761904762
Poland,2022-08-15,PL,comparison_country,2020-2022,2022,3,8,33,10.285714285714286,27.0,208.0,10.571428571428571,-13.285714285714286,4.285714285714286,2.523809523809524
Poland,2022-08-22,PL,comparison_country,2020-2022,2022,3,8,34,21.142857142857142,57.285714285714285,170.85714285714286,17.142857142857142,1.7142857142857142,2.4285714285714284,13.333333333333332
Poland,2022-08-29,PL,comparison_country,2020-2022,2022,3,8,35,15.285714285714286,37.57142857142857,130.0,14.714285714285714,2.2857142857142856,1.1428571428571428,10.761904761904761
Poland,2022-09-05,PL,comparison_country,2020-2022,2022,3,9,36,8.142857142857142,33.857142857142854,98.57142857142857,14.142857142857142,3.142857142857143,0.2857142857142857,8.476190476190476
Poland,2022-09-12,PL,comparison_country,2020-2022,2022,3,9,37,5.571428571428571,30.857142857142858,78.42857142857143,11.285714285714286,4.142857142857143,0.7142857142857143,7.0
Poland,2022-09-19,PL,comparison_country,2020-2022,2022,3,9,38,5.0,31.714285714285715,77.14285714285714,11.428571428571429,6.714285714285714,0.8571428571428571,7.714285714285714
Poland,2022-09-26,PL,comparison_country,2020-2022,2022,3,9,39,4.571428571428571,30.857142857142858,64.71428571428571,11.428571428571429,8.285714285714286,1.4285714285714286,8.095238095238097
Poland,2022-10-03,PL,comparison_country,2020-2022,2022,4,10,40,6.857142857142857,32.0,83.57142857142857,15.0,10.142857142857142,0.2857142857142857,10.666666666666668
Poland,2022-10-10,PL,comparison_country,2020-2022,2022,4,10,41,9.5,32.0,80.0,14.0,7.666666666666667,0.6666666666666666,10.38888888888889
United Kingdom,2020-02-10,GB,main_country,2020-2022,2020,1,2,7,-9.5,-6.5,-31.5,-9.5,-3.5,1.5,-7.5
United Kingdom,2020-02-17,GB,main_country,2020-2022,2020,1,2,8,4.0,-1.2857142857142858,7.714285714285714,-2.2857142857142856,-10.571428571428571,2.0,-2.9523809523809526
United Kingdom,2020-02-24,GB,main_country,2020-2022,2020,1,2,9,1.1428571428571428,1.1428571428571428,-0.7142857142857143,0.14285714285714285,0.0,0.14285714285714285,0.4285714285714285
United Kingdom,2020-03-02,GB,main_country,2020-2022,2020,1,3,10,2.2857142857142856,3.142857142857143,10.285714285714286,-0.5714285714285714,0.8571428571428571,0.14285714285714285,0.8571428571428571
United Kingdom,2020-03-09,GB,main_country,2020-2022,2020,1,3,11,-3.7142857142857144,7.142857142857143,5.0,-8.714285714285714,-1.5714285714285714,1.5714285714285714,-4.666666666666667
United Kingdom,2020-03-16,GB,main_country,2020-2022,2020,1,3,12,-27.714285714285715,12.0,8.857142857142858,-35.142857142857146,-22.714285714285715,9.285714285714286,-28.523809523809526
United Kingdom,2020-03-23,GB,main_country,2020-2022,2020,1,3,13,-72.42857142857143,-28.571428571428573,-24.0,-67.85714285714286,-58.714285714285715,22.428571428571427,-66.33333333333333
United Kingdom,2020-03-30,GB,main_country,2020-2022,2020,1,3,14,-76.71428571428571,-33.285714285714285,-28.428571428571427,-72.14285714285714,-65.42857142857143,24.857142857142858,-71.42857142857143
United Kingdom,2020-04-06,GB,main_country,2020-2022,2020,2,4,15,-76.85714285714286,-33.57142857142857,-20.285714285714285,-71.0,-67.85714285714286,25.0,-71.90476190476191
