location,week_start,new_cases,new_deaths,new_tests,new_vaccinations,new_cases_per_million_calc,new_deaths_per_million_calc,new_cases_7d_avg,new_deaths_7d_avg,new_cases_per_million_7d_avg,new_deaths_per_million_7d_avg,new_cases_smoothed,new_cases_smoothed_per_million,new_deaths_smoothed,new_deaths_smoothed_per_million,hosp_patients,hosp_patients_per_million,icu_patients,icu_patients_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,reproduction_rate,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests,total_tests_per_thousand,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,excess_mortality,excess_mortality_cumulative,excess_mortality_cumulative_absolute,excess_mortality_cumulative_per_million,iso_code,continent,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,human_development_index,location_type,pandemic_period,year,quarter,month,iso_week
World,2024-09-30,89974.0,1338.0,,,1.6023907348623485,0.023829092885120397,12844.938775510203,192.3877551020408,1.6013323425240833,0.023984289838568224,12844.938857142857,1.6142044285714285,192.38775,0.024177084428571426,,,,,,,,,,,,,,,776563000.0,7070645.0,97589.52,888.5575,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,3,9,40
World,2024-10-07,83347.0,1171.0,,,1.4843672680838036,0.02085490864609565,11903.897959183672,171.34693877551018,1.4840161667792842,0.021361206904064792,11903.898,1.495945242857143,171.34693857142858,0.02153291685714286,,,,,,,,,,,,,,,776648222.0,7071822.0,97600.234,888.7054,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,10,41
World,2024-10-14,68140.0,1131.0,,,1.21353840746794,0.020142529187646613,9715.0,162.77551020408163,1.2111341267956761,0.02029263771639123,9715.000142857143,1.2208696714285714,162.77551,0.020455757999999997,,,,,,,,,,,,,,,776718129.0,7072957.0,97609.016,888.848,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,10,42
World,2024-10-21,61332.0,1017.0,,,1.0922914236399135,0.018112247731066847,8756.163265306122,147.30612244897958,1.091599397880279,0.018364124753875614,8756.163142857144,1.1003741,147.30612714285715,0.018511742714285715,,,,,,,,,,,,,,,776780635.0,7073982.0,97616.875,888.97687,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,10,43
World,2024-10-28,50489.0,979.0,,,0.8991831619408399,0.017435487245540258,7215.7959183673465,140.10204081632654,0.8995673380059338,0.017466017793759503,7215.795928571429,0.9067983857142857,140.10204428571427,0.017606416,,,,,,,,,,,,,,,776831955.0,7074965.0,97623.32,889.1004,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,10,44
World,2024-11-04,46262.0,834.0,,,0.8239024626692374,0.01485311170866249,6576.918367346939,120.77551020408164,0.8199207703389794,0.015056648696790784,6576.918342857142,0.8265115785714287,120.77551142857143,0.015177679714285713,,,,,,,,,,,,,,,776879225.0,7075805.0,97629.266,889.20593,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,11,45
World,2024-11-11,46778.0,791.0,,,0.8330921576832301,0.01408730379082977,6674.673469387754,113.26530612244899,0.8321075475031611,0.014120378551400617,6674.673442857143,0.8387963342857143,113.26530857142858,0.014233883714285715,,,,,,,,,,,,,,,776926724.0,7076600.0,97635.234,889.30585,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,11,46
World,2024-11-18,49763.0,708.0,,,0.8862534747699896,0.012609116414548014,7108.571428571428,102.65306122448979,0.8862000463106077,0.012797388128566687,7108.571471428571,0.8933236614285713,102.65306285714287,0.012900258357142856,,,,,,,,,,,,,,,776977163.0,7077314.0,97641.57,889.39557,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,11,47
World,2024-11-25,51900.0,761.0,,,0.9243123473376297,0.01355301919699299,7400.142857142857,106.26530612244899,0.9225492081779699,0.013247713714800543,7400.1428428571435,0.9299650071428571,106.2653057142857,0.013354204428571428,,,,,,,,,,,,,,,777029805.0,7078077.0,97648.19,889.49146,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,11,48
World,2024-12-02,54655.0,727.0,,,0.9733774825383074,0.012947496657311305,7766.7959183673465,105.59183673469387,0.9682585272868823,0.013163754707197618,7766.7958,0.9760417685714285,105.59183714285713,0.013269569428571429,,,,,,,,,,,,,,,777085104.0,7078808.0,97655.13,889.5833,,,13724514000.0,5645247500.0,5197972500.0,2840532201.0,171.89876,70.706406,65.10431,35.577507,,,,,OWID_WRL,,8021407196.0,61.63385772705078,30.093000411987305,72.63980102539062,21405.1171875,9.975934982299805,10.797287940979004,79.72893524169922,3.2938599586486816,,global_reference,2023-2026,2024,4,12,49
