location,week_start,iso_code,country_reference,location_type,year,quarter,month,iso_week,pandemic_period,ukhsa_covid_deaths_weekly,ukhsa_hospital_admissions_weekly_sum,ukhsa_occupied_beds_weekly_avg,ukhsa_pcr_tests_weekly_sum,ukhsa_pcr_positivity_weekly_avg
England,2021-01-11,ENG,United Kingdom,england_detail,2021,1,1,2,2020-2022,6767.0,25834.0,32789.0,15823753.0,14.304285714285713
England,2021-01-18,ENG,United Kingdom,england_detail,2021,1,1,3,2020-2022,7956.0,23015.0,33486.42857142857,13801756.0,13.215714285714286
England,2021-01-25,ENG,United Kingdom,england_detail,2021,1,1,4,2020-2022,8063.0,17663.0,30356.571428571428,12336846.0,10.629999999999999
England,2021-02-01,ENG,United Kingdom,england_detail,2021,1,2,5,2020-2022,6990.0,13683.0,25439.85714285714,11864226.0,8.188571428571429
England,2021-02-08,ENG,United Kingdom,england_detail,2021,1,2,6,2020-2022,5464.0,10167.0,20069.428571428572,11428696.0,6.077142857142857
England,2021-02-15,ENG,United Kingdom,england_detail,2021,1,2,7,2020-2022,3891.0,7995.0,15770.0,10817179.0,5.155714285714287
England,2021-02-22,ENG,United Kingdom,england_detail,2021,1,2,8,2020-2022,2772.0,5666.0,12373.714285714286,10370717.0,4.184285714285714
England,2021-03-01,ENG,United Kingdom,england_detail,2021,1,3,9,2020-2022,1994.0,4066.0,9142.714285714286,10157170.0,2.855714285714286
England,2021-03-08,ENG,United Kingdom,england_detail,2021,1,3,10,2020-2022,1428.0,3055.0,6780.285714285715,9958035.0,2.432857142857143
England,2021-03-15,ENG,United Kingdom,england_detail,2021,1,3,11,2020-2022,912.0,2338.0,5148.857142857143,10494254.0,2.1414285714285715
England,2021-03-22,ENG,United Kingdom,england_detail,2021,1,3,12,2020-2022,687.0,1837.0,3905.714285714286,10909182.0,2.005714285714286
England,2021-03-29,ENG,United Kingdom,england_detail,2021,1,3,13,2020-2022,385.0,1341.0,2984.8571428571427,9916103.0,1.697142857142857
England,2021-04-05,ENG,United Kingdom,england_detail,2021,2,4,14,2020-2022,360.0,1220.0,2391.8571428571427,9062780.0,1.3728571428571428
England,2021-04-12,ENG,United Kingdom,england_detail,2021,2,4,15,2020-2022,346.0,974.0,1898.857142857143,10091021.0,1.0485714285714285
England,2021-04-19,ENG,United Kingdom,england_detail,2021,2,4,16,2020-2022,244.0,784.0,1538.4285714285713,10632533.0,0.8157142857142857
England,2021-04-26,ENG,United Kingdom,england_detail,2021,2,4,17,2020-2022,198.0,647.0,1218.5714285714287,10275125.0,0.7571428571428571
England,2021-05-03,ENG,United Kingdom,england_detail,2021,2,5,18,2020-2022,124.0,591.0,1007.2857142857143,9743092.0,0.7571428571428571
England,2021-05-10,ENG,United Kingdom,england_detail,2021,2,5,19,2020-2022,145.0,523.0,863.7142857142857,10307610.0,0.7585714285714287
England,2021-05-17,ENG,United Kingdom,england_detail,2021,2,5,20,2020-2022,100.0,592.0,757.8571428571429,10715134.0,0.79
England,2021-05-24,ENG,United Kingdom,england_detail,2021,2,5,21,2020-2022,92.0,605.0,756.4285714285714,11645134.0,0.9585714285714285
England,2021-05-31,ENG,United Kingdom,england_detail,2021,2,5,22,2020-2022,96.0,720.0,789.0,10993497.0,1.5571428571428572
England,2021-06-07,ENG,United Kingdom,england_detail,2021,2,6,23,2020-2022,83.0,1066.0,895.2857142857143,12270501.0,2.1957142857142857
England,2021-06-14,ENG,United Kingdom,england_detail,2021,2,6,24,2020-2022,102.0,1286.0,1097.5714285714287,13142294.0,2.795714285714286
England,2021-06-21,ENG,United Kingdom,england_detail,2021,2,6,25,2020-2022,97.0,1426.0,1287.2857142857142,14433486.0,3.81
England,2021-06-28,ENG,United Kingdom,england_detail,2021,2,6,26,2020-2022,106.0,2173.0,1565.857142857143,16218729.0,5.7457142857142856
England,2021-07-05,ENG,United Kingdom,england_detail,2021,3,7,27,2020-2022,176.0,3218.0,2226.285714285714,17587988.0,7.444285714285714
England,2021-07-12,ENG,United Kingdom,england_detail,2021,3,7,28,2020-2022,213.0,4438.0,3210.5714285714284,18204593.0,10.14
England,2021-07-19,ENG,United Kingdom,england_detail,2021,3,7,29,2020-2022,308.0,5462.0,4228.857142857143,17727255.0,10.412857142857144
England,2021-07-26,ENG,United Kingdom,england_detail,2021,3,7,30,2020-2022,389.0,5020.0,5102.0,15551949.0,7.988571428571428
England,2021-08-02,ENG,United Kingdom,england_detail,2021,3,8,31,2020-2022,502.0,4744.0,4985.428571428572,15210233.0,7.932857142857143
England,2021-08-09,ENG,United Kingdom,england_detail,2021,3,8,32,2020-2022,550.0,5032.0,5065.714285714285,15625511.0,8.107142857142858
England,2021-08-16,ENG,United Kingdom,england_detail,2021,3,8,33,2020-2022,551.0,5443.0,5547.714285714285,16302753.0,8.262857142857143
England,2021-08-23,ENG,United Kingdom,england_detail,2021,3,8,34,2020-2022,649.0,5407.0,5889.428571428572,16580383.0,7.967142857142858
England,2021-08-30,ENG,United Kingdom,england_detail,2021,3,8,35,2020-2022,632.0,5360.0,6160.285714285715,17190599.0,7.591428571428572
England,2021-09-06,ENG,United Kingdom,england_detail,2021,3,9,36,2020-2022,786.0,5309.0,6290.571428571428,17863771.0,7.405714285714285
England,2021-09-13,ENG,United Kingdom,england_detail,2021,3,9,37,2020-2022,783.0,4424.0,6064.0,18070839.0,6.048571428571429
England,2021-09-20,ENG,United Kingdom,england_detail,2021,3,9,38,2020-2022,799.0,3969.0,5282.142857142857,19678065.0,6.581428571428572
England,2021-09-27,ENG,United Kingdom,england_detail,2021,3,9,39,2020-2022,715.0,4036.0,4915.571428571428,19904216.0,6.918571428571428
England,2021-10-04,ENG,United Kingdom,england_detail,2021,4,10,40,2020-2022,582.0,4389.0,4979.857142857143,19370277.0,7.558571428571428
England,2021-10-11,ENG,United Kingdom,england_detail,2021,4,10,41,2020-2022,640.0,5250.0,5332.142857142857,19959803.0,8.811428571428571
England,2021-10-18,ENG,United Kingdom,england_detail,2021,4,10,42,2020-2022,708.0,5837.0,6286.857142857143,20450026.0,9.629999999999999
England,2021-10-25,ENG,United Kingdom,england_detail,2021,4,10,43,2020-2022,777.0,6060.0,7033.285714285715,18665713.0,9.37142857142857
England,2021-11-01,ENG,United Kingdom,england_detail,2021,4,11,44,2020-2022,892.0,5427.0,7199.0,17593941.0,8.79857142857143
England,2021-11-08,ENG,United Kingdom,england_detail,2021,4,11,45,2020-2022,943.0,5338.0,6867.571428571428,16880837.0,8.827142857142857
England,2021-11-15,ENG,United Kingdom,england_detail,2021,4,11,46,2020-2022,865.0,4728.0,6436.857142857143,18023051.0,9.487142857142857
England,2021-11-22,ENG,United Kingdom,england_detail,2021,4,11,47,2020-2022,738.0,4499.0,6077.857142857143,18864952.0,9.517142857142858
England,2021-11-29,ENG,United Kingdom,england_detail,2021,4,11,48,2020-2022,729.0,4772.0,5928.428571428572,20761424.0,9.478571428571428
England,2021-12-06,ENG,United Kingdom,england_detail,2021,4,12,49,2020-2022,708.0,5263.0,6086.857142857143,21949293.0,9.911428571428571
England,2021-12-13,ENG,United Kingdom,england_detail,2021,4,12,50,2020-2022,702.0,5595.0,6376.285714285715,24525624.0,13.581428571428571
England,2021-12-20,ENG,United Kingdom,england_detail,2021,4,12,51,2020-2022,797.0,8332.0,7121.714285714285,25787765.0,20.09714285714286
