location,date,variant,variant_percent,iso_code,country_reference,location_type,year,quarter,month,iso_week,week_start,pandemic_period
England,2021-11-08,Other,0.08,ENG,United Kingdom,england_detail,2021,4,11,45,2021-11-08,2020-2022
England,2021-11-15,Delta,98.24,ENG,United Kingdom,england_detail,2021,4,11,46,2021-11-15,2020-2022
England,2021-11-15,Omicron BA.1,1.45,ENG,United Kingdom,england_detail,2021,4,11,46,2021-11-15,2020-2022
England,2021-11-15,Omicron BA.2,0.23,ENG,United Kingdom,england_detail,2021,4,11,46,2021-11-15,2020-2022
England,2021-11-15,Other,0.09,ENG,United Kingdom,england_detail,2021,4,11,46,2021-11-15,2020-2022
England,2021-11-22,Delta,97.94,ENG,United Kingdom,england_detail,2021,4,11,47,2021-11-22,2020-2022
England,2021-11-22,Omicron BA.1,1.68,ENG,United Kingdom,england_detail,2021,4,11,47,2021-11-22,2020-2022
England,2021-11-22,Omicron BA.2,0.31,ENG,United Kingdom,england_detail,2021,4,11,47,2021-11-22,2020-2022
England,2021-11-22,Omicron BA.5,0.0,ENG,United Kingdom,england_detail,2021,4,11,47,2021-11-22,2020-2022
England,2021-11-22,Other,0.07,ENG,United Kingdom,england_detail,2021,4,11,47,2021-11-22,2020-2022
England,2021-11-29,Delta,96.18,ENG,United Kingdom,england_detail,2021,4,11,48,2021-11-29,2020-2022
England,2021-11-29,Omicron BA.1,3.29,ENG,United Kingdom,england_detail,2021,4,11,48,2021-11-29,2020-2022
England,2021-11-29,Omicron BA.2,0.43,ENG,United Kingdom,england_detail,2021,4,11,48,2021-11-29,2020-2022
England,2021-11-29,Other,0.09,ENG,United Kingdom,england_detail,2021,4,11,48,2021-11-29,2020-2022
England,2021-12-06,Delta,78.75,ENG,United Kingdom,england_detail,2021,4,12,49,2021-12-06,2020-2022
England,2021-12-06,Omicron BA.1,20.4,ENG,United Kingdom,england_detail,2021,4,12,49,2021-12-06,2020-2022
England,2021-12-06,Omicron BA.2,0.65,ENG,United Kingdom,england_detail,2021,4,12,49,2021-12-06,2020-2022
England,2021-12-06,Other,0.2,ENG,United Kingdom,england_detail,2021,4,12,49,2021-12-06,2020-2022
England,2021-12-13,Delta,34.91,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-13,Omicron BA.1,63.98,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-13,Omicron BA.2,0.79,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-13,Omicron BA.4,0.0,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-13,Omicron BA.5,0.02,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-13,Other,0.29,ENG,United Kingdom,england_detail,2021,4,12,50,2021-12-13,2020-2022
England,2021-12-20,Alpha,0.0,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
England,2021-12-20,Delta,13.55,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
England,2021-12-20,Omicron BA.1,84.77,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
England,2021-12-20,Omicron BA.2,1.35,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
England,2021-12-20,Omicron BA.5,0.0,ENG,United Kingdom,england_detail,2021,4,12,51,2021-12-20,2020-2022
