location,iso_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,year,quarter,month,iso_week,week_start,pandemic_period,location_type,mobility_restriction_index
United Kingdom,GB,2020-05-14,-67.0,-21.0,28.0,-61.0,-61.0,23.0,2020,2,5,20,2020-05-11,2020-2022,main_country,-63.0
United Kingdom,GB,2020-05-15,-69.0,-21.0,21.0,-60.0,-60.0,24.0,2020,2,5,20,2020-05-11,2020-2022,main_country,-63.0
United Kingdom,GB,2020-05-16,-74.0,-25.0,5.0,-58.0,-43.0,15.0,2020,2,5,20,2020-05-11,2020-2022,main_country,-58.333333333333336
United Kingdom,GB,2020-05-17,-74.0,-29.0,27.0,-55.0,-39.0,12.0,2020,2,5,20,2020-05-11,2020-2022,main_country,-56.0
United Kingdom,GB,2020-05-18,-63.0,-20.0,36.0,-59.0,-59.0,22.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-60.333333333333336
United Kingdom,GB,2020-05-19,-64.0,-18.0,51.0,-57.0,-59.0,22.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-60.0
United Kingdom,GB,2020-05-20,-64.0,-16.0,68.0,-56.0,-59.0,22.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-59.666666666666664
United Kingdom,GB,2020-05-21,-64.0,-16.0,51.0,-58.0,-59.0,23.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-60.333333333333336
United Kingdom,GB,2020-05-22,-66.0,-18.0,14.0,-59.0,-58.0,24.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-61.0
United Kingdom,GB,2020-05-23,-72.0,-23.0,-12.0,-59.0,-41.0,15.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-57.333333333333336
United Kingdom,GB,2020-05-24,-71.0,-25.0,38.0,-52.0,-36.0,11.0,2020,2,5,21,2020-05-18,2020-2022,main_country,-53.0
United Kingdom,GB,2020-05-25,-64.0,-23.0,136.0,-60.0,-77.0,24.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-67.0
United Kingdom,GB,2020-05-26,-60.0,-14.0,66.0,-55.0,-59.0,21.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-58.0
United Kingdom,GB,2020-05-27,-61.0,-15.0,65.0,-55.0,-58.0,22.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-58.0
United Kingdom,GB,2020-05-28,-60.0,-12.0,77.0,-55.0,-58.0,22.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-57.666666666666664
United Kingdom,GB,2020-05-29,-62.0,-12.0,67.0,-53.0,-56.0,22.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-57.0
United Kingdom,GB,2020-05-30,-69.0,-16.0,48.0,-49.0,-31.0,12.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-49.666666666666664
United Kingdom,GB,2020-05-31,-67.0,-19.0,67.0,-45.0,-26.0,9.0,2020,2,5,22,2020-05-25,2020-2022,main_country,-46.0
United Kingdom,GB,2020-06-01,-56.0,-13.0,74.0,-51.0,-53.0,19.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-53.333333333333336
United Kingdom,GB,2020-06-02,-59.0,-15.0,78.0,-51.0,-54.0,19.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-54.666666666666664
United Kingdom,GB,2020-06-03,-62.0,-19.0,0.0,-57.0,-54.0,22.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-57.666666666666664
United Kingdom,GB,2020-06-04,-61.0,-17.0,19.0,-56.0,-54.0,22.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-57.0
United Kingdom,GB,2020-06-05,-63.0,-17.0,9.0,-56.0,-53.0,22.0,2020,2,6,23,2020-06-01,2020-2022,main_country,-57.333333333333336
