week_start,cases,future_deaths,pandemic_period,cases_log1p,week_start_label
2020-12-07,251.1606223041911,7.191121152885069,2020-2022,5.530066274560628,2020-12-07
2020-12-14,378.48363689252113,8.298644806967435,2020-2022,5.938811478363333,2020-12-14
2020-12-21,521.0123525899673,10.024585723032008,2020-2022,6.257691251568106,2020-12-21
2020-12-28,655.3073782461045,12.427612721673423,2020-2022,6.4866292436016195,2020-12-28
2021-01-04,868.2710063745815,16.531736186841886,2020-2022,6.767654936686952,2021-01-04
2021-01-11,738.9439726337969,19.9509909707832,2020-2022,6.606574470674836,2021-01-11
2021-01-18,583.6607750713644,19.044916889456896,2020-2022,6.371031807368374,2021-01-18
2021-01-25,421.6794540474719,15.778919432783198,2020-2022,6.046614099926949,2021-01-25
2021-02-01,314.21373991540406,11.988793890082947,2020-2022,5.75325094813583,2021-02-01
2021-02-08,229.62467518520083,9.153832666349413,2020-2022,5.440791606382747,2021-02-08
2021-02-15,178.4735455560481,6.619998144239352,2020-2022,5.190027818549215,2021-02-15
2021-02-22,150.22510710116674,4.487865444772138,2020-2022,5.018769502216677,2021-02-22
2021-03-01,101.85356251304344,3.084603041978049,2020-2022,4.633306253447977,2021-03-01
2021-03-08,84.64384225147275,2.116567502166597,2020-2022,4.450197327865384,2021-03-08
2021-03-15,82.37072478414802,1.5616083522561357,2020-2022,4.423297225969332,2021-03-15
2021-03-22,80.6226333950018,1.0416708962720629,2020-2022,4.402106593546891,2021-03-22
2021-03-29,68.7035835620543,0.7728719121190996,2020-2022,4.244251730534551,2021-03-29
2021-04-05,45.94157782492313,0.6414657272158134,2020-2022,3.8489038035120444,2021-04-05
2021-04-12,40.1635969885037,0.5202367867013924,2020-2022,3.7175542975387774,2021-04-12
2021-04-19,35.27672369754459,0.392422570405941,2020-2022,3.5911763151477287,2021-04-19
2021-04-26,32.91620166076255,0.2687989841529634,2020-2022,3.523892825312821,2021-04-26
2021-05-03,29.972284055924693,0.2388659124210075,2020-2022,3.4330927418605905,2021-05-03
2021-05-10,32.60280239972898,0.1948642969750324,2020-2022,3.514609468245014,2021-05-10
2021-05-17,33.25624135563756,0.1652305559603961,2020-2022,3.533868777468162,2021-05-17
2021-05-24,40.5509309367152,0.1724144931760656,2020-2022,3.726919926266233,2021-05-24
2021-05-31,57.88337679238691,0.1754078003492611,2020-2022,4.075558823190328,2021-05-31
2021-06-07,91.10100448549026,0.2047422106465779,2020-2022,4.522885849667478,2021-06-07
2021-06-14,123.13837116020258,0.2478458339405942,2020-2022,4.82139683990863,2021-06-14
2021-06-21,180.60597758623263,0.3080113081218255,2020-2022,5.201839381849214,2021-06-21
2021-06-28,305.79566215222616,0.4418121387636681,2020-2022,5.726181930384755,2021-06-28
2021-07-05,428.6987593686155,0.6273971835017943,2020-2022,6.063084403573187,2021-07-05
2021-07-12,557.8171595994282,0.9111627035207356,2020-2022,6.325822334855902,2021-07-12
2021-07-19,660.4537712689797,1.1266808199908176,2020-2022,6.494440096409982,2021-07-19
2021-07-26,434.2645147264554,1.329028384898839,2020-2022,6.075953926113989,2021-07-26
2021-08-02,392.67939616140114,1.3637507481079076,2020-2022,5.975536862725519,2021-08-02
2021-08-09,419.7831939532525,1.4325968130914062,2020-2022,6.042117722301924,2021-08-09
2021-08-16,458.7737138605808,1.710675049481276,2020-2022,6.130734442057617,2021-08-16
2021-08-23,506.0374354639045,1.8639323767488896,2020-2022,6.228584838072263,2021-08-23
2021-08-30,516.49156076629,2.155779826135459,2020-2022,6.248993217308562,2021-08-30
2021-09-06,552.6174857088703,2.241089080571533,2020-2022,6.316473989261424,2021-09-06
2021-09-13,453.23699358232096,2.2497696713738,2020-2022,6.118619074136188,2021-09-13
2021-09-20,473.2688038467805,1.968698127810735,2020-2022,6.161774257679662,2021-09-20
2021-09-27,506.9081885205871,1.814243477673843,2020-2022,6.230300699985933,2021-09-27
2021-10-04,504.1633258427667,1.8642317074662091,2020-2022,6.22488179449762,2021-10-04
2021-10-11,589.5593861868635,2.1222547857956684,2020-2022,6.381070199906425,2021-10-11
2021-10-18,682.1950592600512,2.3820738484290453,2020-2022,6.526780410685991,2021-10-18
2021-10-25,632.1026623780577,2.635008304564072,2020-2022,6.450632592845389,2021-10-25
2021-11-01,570.1627557045562,2.4530152284337805,2020-2022,6.347674205301061,2021-11-01
2021-11-08,522.9367497716147,2.232109159051946,2020-2022,6.261370970492701,2021-11-08
2021-11-15,598.1163534028777,2.0204823419070186,2020-2022,6.395455825333721,2021-11-15
2021-11-22,629.2045423729697,1.9636095056163028,2020-2022,6.446044437124824,2021-11-22
2021-11-29,661.475087676474,2.007311790344958,2020-2022,6.495982953646139,2021-11-29
2021-12-06,732.9127580105251,1.8525578094907469,2020-2022,6.598390163254021,2021-12-06
2021-12-13,992.7803122201076,1.799276941807865,2020-2022,6.90151616836634,2021-12-13
2021-12-20,1635.4005580126225,1.893566117763526,2020-2022,7.400254327055321,2021-12-20
2021-12-27,2267.808537722346,2.5089900725725376,2020-2022,7.727010099431197,2021-12-27
2022-01-03,2947.9241464891784,3.2552215508501967,2020-2022,7.989195686710705,2022-01-03
2022-01-10,2061.7166448713742,3.5198299049606865,2020-2022,7.631779152630164,2022-01-10
2022-01-17,1501.2085021232433,3.238459030680301,2020-2022,7.3146916390170444,2022-01-17
2022-01-24,1525.125026437076,2.9115898873673443,2020-2022,7.3304871393120274,2022-01-24
2022-01-31,1359.016832813499,2.453613889868419,2020-2022,7.215252355722251,2022-01-31
2022-02-07,1026.343666891715,2.0417348228367076,2020-2022,6.9347317857840585,2022-02-07
2022-02-14,743.2474503567001,1.8375912736247688,2020-2022,6.6123735741012375,2022-02-14
2022-02-21,595.0254644158359,1.7007971358097305,2020-2022,6.3902833916825665,2022-02-21
2022-02-28,522.4230982606944,1.6349443779994275,2020-2022,6.260390120304361,2022-02-28
2022-03-07,755.5622153979441,1.8016715875464215,2020-2022,6.628784770954455,2022-03-07
2022-03-14,1114.851868703783,2.312629122010907,2020-2022,7.017373399994906,2022-03-14
2022-03-21,1260.5888110294604,2.5293445613502676,2020-2022,7.140127166736212,2022-03-21
2022-03-28,1145.1573078480849,2.8355598851681765,2020-2022,7.044170154737594,2022-03-28
2022-04-04,770.3695073223081,2.9499042191842473,2020-2022,6.648167515983642,2022-04-04
2022-04-11,520.896810933082,2.5838227519024275,2020-2022,6.257469888136508,2022-04-11
2022-04-18,360.1511271102848,2.1243501008169057,2020-2022,5.889296505384371,2022-04-18
2022-04-25,244.61605550071627,1.660986150406229,2020-2022,5.5037695666962145,2022-04-25
2022-05-02,165.48378974724852,1.3571654723268776,2020-2022,5.114897945805431,2022-05-02
2022-05-09,141.3478560176206,1.0377795969469088,2020-2022,4.958273752266194,2022-05-09
2022-05-16,116.066682963528,0.8141795511091986,2020-2022,4.7627437123029335,2022-05-16
2022-05-23,96.2147704601776,0.6115326554838577,2020-2022,4.576922659388571,2022-05-23
2022-05-30,89.82316165325305,0.5411899369137615,2020-2022,4.50891433736571,2022-05-30
2022-06-06,127.0883393059515,0.572021000797676,2020-2022,4.852720176702799,2022-06-06
2022-06-13,181.53749477853108,0.7246796666306506,2020-2022,5.206955602761679,2022-06-13
2022-06-20,240.49217620820468,0.9590556182918648,2020-2022,5.486837075914448,2022-06-20
2022-06-27,306.812787929678,1.2458144454840017,2020-2022,5.729491766772031,2022-06-27
2022-07-04,385.7813197807719,1.694810521463339,2020-2022,5.9578594681543295,2022-07-04
2022-07-11,382.0956606584162,2.071069233134024,2020-2022,5.948284724726285,2022-07-11
2022-07-18,279.7754415570716,1.984562655828672,2020-2022,5.637555209484571,2022-07-18
2022-07-25,186.7216034717885,1.5253893354604693,2020-2022,5.234960032716864,2022-07-25
2022-08-01,133.7415631598133,1.3203477940965718,2020-2022,4.903358596770053,2022-08-01
2022-08-08,104.63195023120356,1.2817341315623487,2020-2022,4.659960884518024,2022-08-08
2022-08-15,84.06284132915549,0.9779134534829972,2020-2022,4.4433902930902525,2022-08-15
2022-08-22,66.11287620365353,0.8132815589572399,2020-2022,4.2063759213005465,2022-08-22
2022-08-29,59.79340609960302,0.7255776587826094,2020-2022,4.107481330781583,2022-08-29
2022-09-05,62.51192767429924,0.6462550186929265,2020-2022,4.151227725649951,2022-09-05
2022-09-12,62.76246748469571,0.6453570265409677,2020-2022,4.1551647333049155,2022-09-12
2022-09-19,75.99108920591627,0.7737699042710583,2020-2022,4.343689690558586,2022-09-19
2022-09-26,105.23809493377568,1.098543732562779,2020-2022,4.665682753844605,2022-09-26
2022-10-03,129.75358001296482,1.4574412626289297,2020-2022,4.87331448316648,2022-10-03
2022-10-10,134.29322967183325,1.6367403623033447,2020-2022,4.9074444945443405,2022-10-10
2022-10-17,119.27371226888977,1.5975280383344828,2020-2022,4.789770080971476,2022-10-17
2022-10-24,92.37645267198889,1.384404567602957,2020-2022,4.536639200729438,2022-10-24
2022-10-31,67.54756833176617,1.1278781428600957,2020-2022,4.227527932465449,2022-10-31
2022-11-07,52.82378967753442,0.8806309703541405,2020-2022,3.985715556746505,2022-11-07
2022-11-14,47.283477430666714,0.8477045914489892,2020-2022,3.8770894199542574,2022-11-14
2022-11-21,46.6650601686845,0.7782598650308516,2020-2022,3.8641986382689764,2022-11-21
2022-11-28,51.64412732057803,0.8462079378623913,2020-2022,3.9635546904893646,2022-11-28
2022-12-05,59.66289790685168,1.0383782583815475,2020-2022,4.105332274064476,2022-12-05
2022-12-12,75.7130109695264,1.3682407088677009,2020-2022,4.340071328530919,2022-12-12
2022-12-19,96.88287662123484,1.8654290303354877,2020-2022,4.583771627407376,2022-12-19
2022-12-26,89.4780333361836,2.0423334842713463,2020-2022,4.50510709567623,2022-12-26
2023-01-02,82.23482863848494,1.8417819036672425,2023-2026,4.421665873676329,2023-01-02
