location,lag_weeks,param,coef,std_err_HAC,p_value_HAC,conf_low_95,conf_high_95
Poland,4,later_period,-1.0411028771251285,0.43771864614939193,0.017384413529577352,-1.8990156589395686,-0.1831900953106883
Poland,4,interaction,-0.006990809184308275,0.0037973609054287325,0.06562666223041368,-0.014433499795249001,0.00045188142663245105
United Kingdom,1,const,2.5187271737752455,0.7367357885970456,0.0006290582725047148,1.074751562003321,3.9627027855471697
United Kingdom,1,cases_lag_1w,0.0011753277669970309,0.0010830561978085519,0.2778350544179331,-0.0009474233739406195,0.0032980789079346813
United Kingdom,1,later_period,-2.611891607444803,0.7369398326612869,0.00039374669553752443,-4.056267138233899,-1.1675160766557062
United Kingdom,1,interaction,0.023285018391249197,0.0013848571269682777,1.9264513900557806e-63,0.02057074829865776,0.025999288483840633
United Kingdom,2,const,2.497035462429607,0.7354037365620445,0.0006851287673044956,1.055670624671818,3.938400300187396
United Kingdom,2,cases_lag_2w,0.001294086161013095,0.0011425061481589922,0.2573514918278993,-0.0009451847414941126,0.0035333570635203027
United Kingdom,2,later_period,-2.583578790976838,0.7356689402720085,0.0004449539697526512,-4.025463418454723,-1.1416941634989533
United Kingdom,2,interaction,0.021531259433258593,0.0014360815723929415,8.150775792661349e-51,0.01871659127250678,0.024345927594010407
United Kingdom,3,const,2.549507062656972,0.75283577232498,0.0007078043494949931,1.073976062626615,4.0250380626873286
United Kingdom,3,cases_lag_3w,0.001185251874681565,0.001123605488879158,0.29148716491014603,-0.0010169744163531051,0.003387478165716235
United Kingdom,3,later_period,-2.6297646930770733,0.7530202532335716,0.00047889896820820904,-4.105657269044105,-1.153872117110042
United Kingdom,3,interaction,0.020376349302877055,0.0017532944290497908,3.1952381539942232e-31,0.016939955367644748,0.023812743238109363
United Kingdom,4,const,2.661719302491883,0.783846978621979,0.0006845011505843,1.1254074550022661,4.1980311499814995
United Kingdom,4,cases_lag_4w,0.0008962731949930989,0.001040703637964675,0.3891177292330622,-0.0011434684539974754,0.002936014843983673
United Kingdom,4,later_period,-2.7332652478102535,0.7840262810303167,0.000489951322235404,-4.269928521562553,-1.1966019740579539
United Kingdom,4,interaction,0.019444361818328898,0.0021907163404971297,6.943202318163735e-19,0.015150636690611138,0.023738086946046656
World,1,const,0.673194451636226,0.09955645944793841,1.361594338169178e-11,0.47806737668994437,0.8683215265825077
World,1,cases_lag_1w,0.001192009802392542,0.0006275518860719396,0.057504000795897146,-3.79692927386429e-05,0.0024219888975237267
World,1,later_period,-0.6405428785745576,0.09986884406504662,1.4189827968448587e-10,-0.8362822161196957,-0.44480354102941955
World,1,interaction,-0.0002531125677115427,0.000580623605334755,0.6628858693292559,-0.001391113922741461,0.0008848887873183755
World,2,const,0.6493255781409155,0.095693697422241,1.157187006465004e-11,0.46176937764584974,0.8368817786359812
World,2,cases_lag_2w,0.0016272957979446678,0.0005587118248163214,0.0035845038794813998,0.0005322407435680257,0.00272235085232131
World,2,later_period,-0.616432175017343,0.09609373478137885,1.4091074922064737e-10,-0.8047724343287895,-0.42809191570589655
World,2,interaction,-0.0009438030407283192,0.000568844709093518,0.09708403245080582,-0.002058718183347779,0.00017111210189114045
World,3,const,0.6705677446336609,0.09562175999514987,2.3374437162223983e-12,0.48315253890483423,0.8579829503624875
World,3,cases_lag_3w,0.0014217978009945945,0.0006128890323206578,0.020350125204529643,0.0002205573711265001,0.0026230382308626886
World,3,later_period,-0.6364911762570037,0.09614234277639748,3.5847000063215505e-11,-0.8249267054880474,-0.44805564702596
World,3,interaction,-0.0008696295219870345,0.000630898671408419,0.16808041360333248,-0.0021061681958417055,0.00036690915186763653
World,4,const,0.7033183339676989,0.09669278744029008,3.4966499595118244e-13,0.5138039530199435,0.8928327149154544
World,4,cases_lag_4w,0.0010484615673977402,0.0006622908252821696,0.1134024718136512,-0.00024960459744662175,0.002346527732242102
World,4,later_period,-0.6706775134233045,0.09721012515782056,5.22756907749575e-12,-0.8612058576652638,-0.4801491691813452
World,4,interaction,-0.000410525342182029,0.0006932112585572598,0.5537112268794181,-0.0017691944426319415,0.0009481437582678836
