location,pandemic_period,dataset,variable,n,missing_pct,mean,median,std,min,q25,q75,max,skew,kurtosis
Europe,2023-2026,covid_weekly,people_vaccinated_per_hundred,174,0.0,70.03814644252874,70.091805,0.10602432418978634,69.64052,70.044655,70.091805,70.091805,-2.0541204382146176,3.4106071543892553
Europe,2023-2026,covid_weekly,people_fully_vaccinated_per_hundred,174,0.0,66.96664387931035,67.044044,0.12819423446957184,66.61851,66.816327,67.044044,67.044044,-1.2059063424042384,-0.2098244226223347
Europe,2023-2026,covid_weekly,total_boosters_per_hundred,174,0.0,49.55901692528735,49.90219,0.616983140419639,47.804985,49.557355,49.90219,49.90219,-1.4929958550055347,0.5973080571147311
Europe,2023-2026,covid_weekly,stringency_index,0,100.0,,,,,,,,,
Europe,2023-2026,covid_weekly,reproduction_rate,0,100.0,,,,,,,,,
Europe,2023-2026,covid_weekly,positive_rate,0,100.0,,,,,,,,,
Europe,2023-2026,covid_weekly,tests_per_case,0,100.0,,,,,,,,,
Europe,2023-2026,covid_weekly,excess_mortality_cumulative_per_million,0,100.0,,,,,,,,,
Poland,2020-2022,covid_weekly,new_cases_per_million_7d_avg,157,0.0,150.92923434394112,23.794447878442952,229.54955050147507,0.0,9.029715177465649,229.0822365391884,1238.6888210040931,2.1266795376871324,4.981873538906582
Poland,2020-2022,covid_weekly,new_deaths_per_million_7d_avg,157,0.0,2.809034616428008,0.4667975698195266,3.8494084187475592,0.0,0.1972458979533534,5.568076251389409,14.553663640364148,1.284693968451495,0.4042940712863272
Poland,2020-2022,covid_weekly,new_cases_per_million_calc,157,0.0,150.96368050037805,26.237426048512113,230.84521202128255,0.0,8.883508649333109,227.6478175831826,1244.4429782912878,2.1667883248219066,5.2604916603891905
Poland,2020-2022,covid_weekly,new_deaths_per_million_calc,157,0.0,2.8097762314751655,0.4577593480804242,3.8561686520485803,0.0,0.2046891393855554,5.4782256941006855,14.04167496184911,1.284530255037009,0.3618975020452071
Poland,2020-2022,covid_weekly,total_cases_per_million,157,0.0,76706.79842011891,75068.8,63021.93823385401,0.0,2556.679,155502.72,165909.08,0.16205337440403314,-1.4817193538049247
Poland,2020-2022,covid_weekly,total_deaths_per_million,157,0.0,1616.8324158986304,1956.6123,1221.2295777238453,0.0,67.81165,3004.8665,3087.944,-0.17006701323268614,-1.5765322648698354
Poland,2020-2022,covid_weekly,people_vaccinated_per_hundred,157,0.0,31.13544502165605,44.585636,26.936217269738354,0.0,0.0,58.88492,59.530937,-0.15665926453231016,-1.8791712762913582
Poland,2020-2022,covid_weekly,people_fully_vaccinated_per_hundred,157,0.0,29.245837020351583,36.218437,26.986665982751685,0.0,0.0,58.26872,58.93984,-0.03482875263163977,-1.9255371498295477
Poland,2020-2022,covid_weekly,total_boosters_per_hundred,157,0.0,11.568575914012738,0.0,15.660879695250637,0.0,0.0,30.567663,39.557507,0.741477271162894,-1.30761307901253
Poland,2020-2022,covid_weekly,stringency_index,157,0.0,39.69209281164696,38.4,25.1685890296787,0.0,14.81,64.39,87.04,0.21478281323453316,-1.2258758440785769
Poland,2020-2022,covid_weekly,reproduction_rate,147,6.369426751592357,1.0516297376093295,1.0265142857142855,0.34227288300387243,0.3766857142857143,0.8323714285714285,1.2474285714285713,2.4531,0.9690588936073399,2.3244429869010994
Poland,2020-2022,covid_weekly,positive_rate,119,24.203821656050955,11.342335251488596,7.360530928571428,10.424388370507032,0.2074501142857143,2.4726750857142856,19.517365214285718,43.61888028571428,0.8840448703046861,-0.039391072532037885
Poland,2020-2022,covid_weekly,tests_per_case,119,24.203821656050955,49.14647391712685,14.088394285714283,93.83115280716218,2.293347942857143,5.1611379,40.60054385714285,482.50453714285715,3.092468359232531,9.444290789155126
Poland,2020-2022,covid_weekly,excess_mortality_cumulative_per_million,157,0.0,2375.5875168802554,2939.817,1799.9047920612861,-195.54051,-8.792994,4260.059,4447.032,-0.340097519399837,-1.4880225627659427
Poland,2023-2026,covid_weekly,new_cases_per_million_7d_avg,174,0.0,10.191661386560442,3.484500310475145,15.786789666559187,0.1563080700762424,1.0346105590760806,11.9854795162033,76.94503996549066,2.3597045132643797,5.316256264778799
Poland,2023-2026,covid_weekly,new_deaths_per_million_7d_avg,174,0.0,0.05317823230133164,0.0058482611253015,0.1077492071826259,0.0,0.0,0.053963500383464605,0.7108295567752928,3.1715366191516807,11.91891419927756
Poland,2023-2026,covid_weekly,new_cases_per_million_calc,174,0.0,10.16058065920069,3.472272128122242,15.818078467060023,0.1563080700762424,0.9918119208409191,11.91290791223933,75.86523829771907,2.3899134109739752,5.492702464225902
Poland,2023-2026,covid_weekly,new_deaths_per_million_calc,174,0.0,0.052509073896712506,0.007443241432202,0.1078423744480235,0.0,0.0,0.0483810693093131,0.7108295567752928,3.2216714699776743,12.169490558053793
Poland,2023-2026,covid_weekly,total_cases_per_million,174,0.0,174050.67913793103,174479.18,3457.0785242323473,165977.67,170343.41499999998,176659.53999999998,178284.67,-0.6008260457906461,-0.7907722788835398
Poland,2023-2026,covid_weekly,total_deaths_per_million,174,0.0,3138.3252683908054,3146.5725,17.92453499042532,3089.3247,3118.3851,3151.7178,3151.9001,-1.1399027096268843,-0.020481059995468787
Poland,2023-2026,covid_weekly,people_vaccinated_per_hundred,174,0.0,59.795322666666685,59.877827,0.1304701857713793,59.543518,59.598772,59.877827,59.877827,-0.9570904735830978,-1.0813541830191125
Poland,2023-2026,covid_weekly,people_fully_vaccinated_per_hundred,174,0.0,59.10720762068967,59.15184,0.07078246678522931,58.952374,59.00453275,59.15184,59.15184,-0.9782786817989949,-1.000947071931765
Poland,2023-2026,covid_weekly,total_boosters_per_hundred,174,0.0,40.07336771264367,40.104836,0.08765605007083618,39.612022,40.1023265,40.104836,40.104836,-3.2951715665025025,10.642157407966515
Poland,2023-2026,covid_weekly,stringency_index,0,100.0,,,,,,,,,
Poland,2023-2026,covid_weekly,reproduction_rate,1,99.42528735632183,1.002,1.002,,1.002,1.002,1.002,1.002,,
Poland,2023-2026,covid_weekly,positive_rate,0,100.0,,,,,,,,,
Poland,2023-2026,covid_weekly,tests_per_case,0,100.0,,,,,,,,,
Poland,2023-2026,covid_weekly,excess_mortality_cumulative_per_million,52,70.11494252873564,4007.8059288461545,3990.92085,206.69020984537804,3749.35,3805.295125,4149.794425,4416.521,0.4550891314474371,-0.92767371439245
United Kingdom,2020-2022,covid_weekly,new_cases_per_million_7d_avg,157,0.0,322.7096589176057,127.0883393059515,449.9181280950628,0.0,46.6650601686845,473.2688038467805,2947.9241464891784,2.7932653977055946,10.27883660491037
United Kingdom,2020-2022,covid_weekly,new_deaths_per_million_7d_avg,157,0.0,2.8813041010958713,1.5975280383344828,4.1311531372022845,0.0,0.6414657272158134,2.5293445613502676,19.9509909707832,2.5615657096933213,6.3480925944780235
United Kingdom,2020-2022,covid_weekly,new_cases_per_million_calc,157,0.0,322.9812128882971,126.6450305136012,452.4115704779509,0.0,47.42536019067618,487.5420897714463,2766.5114726197694,2.828632577348035,10.443325798113111
United Kingdom,2020-2022,covid_weekly,new_deaths_per_million_calc,157,0.0,2.886943720597981,1.5631050058427334,4.147585558343174,0.0,0.6705008067958106,2.6317156666735566,20.372747951486456,2.5874237871556405,6.5298736691637345
