DATAFLOW,LAST UPDATE,freq,unit,s_adj,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Belgium,2025-Q4,-4202.8,p,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2017-Q3,789.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2017-Q4,-601.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2018-Q1,439.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2018-Q2,682.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2018-Q3,537.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2018-Q4,-688.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2019-Q1,575.8,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2019-Q2,606.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2019-Q3,812.6,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2019-Q4,-676.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2020-Q1,226.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2020-Q2,-345.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2020-Q3,379.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2020-Q4,-2628.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2021-Q1,4.9,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2021-Q2,78.7,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2021-Q3,672.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2021-Q4,-3581.5,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2022-Q1,-314.3,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2022-Q2,-301.2,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2022-Q3,-370.1,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2022-Q4,-1542.4,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2023-Q1,-320.0,,
ESTAT:GOV_10Q_GGNFA(1.0),22/04/26 11:00:00,Quarterly,Million euro,Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data),General government,Net lending (+)/net borrowing (-),Bulgaria,2023-Q2,-512.1,,
